Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"MK","Macro Indicators","183","Romania","6103","Share of GDP US$","22016","Value Added (Agriculture, Forestry and Fishing)","2010","2010","%","4.996987","Fc","Calculated data",""
"MK","Macro Indicators","183","Romania","6187","Share of GDP US$, 2015 prices","22016","Value Added (Agriculture, Forestry and Fishing)","2010","2010","%","4.186369","Fc","Calculated data",""
"MK","Macro Indicators","183","Romania","6103","Share of GDP US$","22016","Value Added (Agriculture, Forestry and Fishing)","2011","2011","%","6.253289","Fc","Calculated data",""
"MK","Macro Indicators","183","Romania","6187","Share of GDP US$, 2015 prices","22016","Value Added (Agriculture, Forestry and Fishing)","2011","2011","%","5.105554","Fc","Calculated data",""
"MK","Macro Indicators","183","Romania","6103","Share of GDP US$","22016","Value Added (Agriculture, Forestry and Fishing)","2012","2012","%","4.684394","Fc","Calculated data",""
"MK","Macro Indicators","183","Romania","6187","Share of GDP US$, 2015 prices","22016","Value Added (Agriculture, Forestry and Fishing)","2012","2012","%","3.718666","Fc","Calculated data",""
"MK","Macro Indicators","183","Romania","6103","Share of GDP US$","22016","Value Added (Agriculture, Forestry and Fishing)","2013","2013","%","5.382163","Fc","Calculated data",""
"MK","Macro Indicators","183","Romania","6187","Share of GDP US$, 2015 prices","22016","Value Added (Agriculture, Forestry and Fishing)","2013","2013","%","4.78008","Fc","Calculated data",""
"MK","Macro Indicators","183","Romania","6103","Share of GDP US$","22016","Value Added (Agriculture, Forestry and Fishing)","2014","2014","%","4.71265","Fc","Calculated data",""
"MK","Macro Indicators","183","Romania","6187","Share of GDP US$, 2015 prices","22016","Value Added (Agriculture, Forestry and Fishing)","2014","2014","%","4.846775","Fc","Calculated data",""
"MK","Macro Indicators","183","Romania","6103","Share of GDP US$","22016","Value Added (Agriculture, Forestry and Fishing)","2015","2015","%","4.186789","Fc","Calculated data",""
"MK","Macro Indicators","183","Romania","6187","Share of GDP US$, 2015 prices","22016","Value Added (Agriculture, Forestry and Fishing)","2015","2015","%","4.186789","Fc","Calculated data",""
"MK","Macro Indicators","183","Romania","6103","Share of GDP US$","22016","Value Added (Agriculture, Forestry and Fishing)","2016","2016","%","4.069613","Fc","Calculated data",""
"MK","Macro Indicators","183","Romania","6187","Share of GDP US$, 2015 prices","22016","Value Added (Agriculture, Forestry and Fishing)","2016","2016","%","4.169466","Fc","Calculated data",""
"MK","Macro Indicators","183","Romania","6103","Share of GDP US$","22016","Value Added (Agriculture, Forestry and Fishing)","2017","2017","%","4.313298","Fc","Calculated data",""
"MK","Macro Indicators","183","Romania","6187","Share of GDP US$, 2015 prices","22016","Value Added (Agriculture, Forestry and Fishing)","2017","2017","%","4.450318","Fc","Calculated data",""
"MK","Macro Indicators","183","Romania","6103","Share of GDP US$","22016","Value Added (Agriculture, Forestry and Fishing)","2018","2018","%","4.331834","Fc","Calculated data",""
"MK","Macro Indicators","183","Romania","6187","Share of GDP US$, 2015 prices","22016","Value Added (Agriculture, Forestry and Fishing)","2018","2018","%","4.659468","Fc","Calculated data",""
"MK","Macro Indicators","183","Romania","6103","Share of GDP US$","22016","Value Added (Agriculture, Forestry and Fishing)","2019","2019","%","4.123627","Fc","Calculated data",""
"MK","Macro Indicators","183","Romania","6187","Share of GDP US$, 2015 prices","22016","Value Added (Agriculture, Forestry and Fishing)","2019","2019","%","4.248247","Fc","Calculated data",""
"MK","Macro Indicators","183","Romania","6103","Share of GDP US$","22016","Value Added (Agriculture, Forestry and Fishing)","2020","2020","%","3.836327","Fc","Calculated data",""
"MK","Macro Indicators","183","Romania","6187","Share of GDP US$, 2015 prices","22016","Value Added (Agriculture, Forestry and Fishing)","2020","2020","%","3.705535","Fc","Calculated data",""
"MK","Macro Indicators","183","Romania","6103","Share of GDP US$","22075","Value Added (Total Manufacturing)","2010","2010","%","22.976494","Fc","Calculated data",""
"MK","Macro Indicators","183","Romania","6187","Share of GDP US$, 2015 prices","22075","Value Added (Total Manufacturing)","2010","2010","%","20.726515","Fc","Calculated data",""
"MK","Macro Indicators","183","Romania","6103","Share of GDP US$","22075","Value Added (Total Manufacturing)","2011","2011","%","24.877297","Fc","Calculated data",""
"MK","Macro Indicators","183","Romania","6187","Share of GDP US$, 2015 prices","22075","Value Added (Total Manufacturing)","2011","2011","%","21.73398","Fc","Calculated data",""
"MK","Macro Indicators","183","Romania","6103","Share of GDP US$","22075","Value Added (Total Manufacturing)","2012","2012","%","19.986918","Fc","Calculated data",""
"MK","Macro Indicators","183","Romania","6187","Share of GDP US$, 2015 prices","22075","Value Added (Total Manufacturing)","2012","2012","%","18.211638","Fc","Calculated data",""
"MK","Macro Indicators","183","Romania","6103","Share of GDP US$","22075","Value Added (Total Manufacturing)","2013","2013","%","20.437399","Fc","Calculated data",""
"MK","Macro Indicators","183","Romania","6187","Share of GDP US$, 2015 prices","22075","Value Added (Total Manufacturing)","2013","2013","%","18.962518","Fc","Calculated data",""
"MK","Macro Indicators","183","Romania","6103","Share of GDP US$","22075","Value Added (Total Manufacturing)","2014","2014","%","21.046689","Fc","Calculated data",""
"MK","Macro Indicators","183","Romania","6187","Share of GDP US$, 2015 prices","22075","Value Added (Total Manufacturing)","2014","2014","%","19.422255","Fc","Calculated data",""
"MK","Macro Indicators","183","Romania","6103","Share of GDP US$","22075","Value Added (Total Manufacturing)","2015","2015","%","19.58447","Fc","Calculated data",""
"MK","Macro Indicators","183","Romania","6187","Share of GDP US$, 2015 prices","22075","Value Added (Total Manufacturing)","2015","2015","%","19.58447","Fc","Calculated data",""
"MK","Macro Indicators","183","Romania","6103","Share of GDP US$","22075","Value Added (Total Manufacturing)","2016","2016","%","20.1593","Fc","Calculated data",""
"MK","Macro Indicators","183","Romania","6187","Share of GDP US$, 2015 prices","22075","Value Added (Total Manufacturing)","2016","2016","%","19.916516","Fc","Calculated data",""
"MK","Macro Indicators","183","Romania","6103","Share of GDP US$","22075","Value Added (Total Manufacturing)","2017","2017","%","19.936398","Fc","Calculated data",""
"MK","Macro Indicators","183","Romania","6187","Share of GDP US$, 2015 prices","22075","Value Added (Total Manufacturing)","2017","2017","%","20.021438","Fc","Calculated data",""
"MK","Macro Indicators","183","Romania","6103","Share of GDP US$","22075","Value Added (Total Manufacturing)","2018","2018","%","18.70316","Fc","Calculated data",""
"MK","Macro Indicators","183","Romania","6187","Share of GDP US$, 2015 prices","22075","Value Added (Total Manufacturing)","2018","2018","%","19.710278","Fc","Calculated data",""
"MK","Macro Indicators","183","Romania","6103","Share of GDP US$","22075","Value Added (Total Manufacturing)","2019","2019","%","16.988759","Fc","Calculated data",""
"MK","Macro Indicators","183","Romania","6187","Share of GDP US$, 2015 prices","22075","Value Added (Total Manufacturing)","2019","2019","%","18.706629","Fc","Calculated data",""
"MK","Macro Indicators","183","Romania","6103","Share of GDP US$","22075","Value Added (Total Manufacturing)","2020","2020","%","15.776722","Fc","Calculated data",""
"MK","Macro Indicators","183","Romania","6187","Share of GDP US$, 2015 prices","22075","Value Added (Total Manufacturing)","2020","2020","%","17.590214","Fc","Calculated data",""
