Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","642","Romania","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","93.133241","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","93.355804","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","93.513453","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","93.531999","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","93.448538","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","93.392898","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","95.182673","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","95.544338","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","96.323307","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","97.120824","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","97.973981","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","98.715857","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","99.841218","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","101.59836","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","102.78295","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","103.730623","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","103.947797","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","102.555904","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","100.551972","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","99.150207","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","97.975488","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","98.765215","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","99.298281","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","99.653658","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","99.972549","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","101.178359","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","101.826107","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","101.716488","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","101.736419","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","101.606869","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","101.746384","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","102.424029","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","104.74596","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","104.835648","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","105.144574","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","105.84215","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","107.154592","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","107.461535","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","107.387445","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","107.408614","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","108.234182","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","107.45095","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","105.715139","A","Official figure","base year is 2015"
