"area_code" "area" "months_code" "months" "element_code" "element" "year_code" "year" "unit" "value" "flag"
"1" 146 "Republic of Moldova" 7020 "Meteorological year" 7271 "Temperature change" 2010 2010 "°C" 1.324 "Fc"
"2" 146 "Republic of Moldova" 7020 "Meteorological year" 7271 "Temperature change" 2011 2011 "°C" 0.441 "Fc"
"3" 146 "Republic of Moldova" 7020 "Meteorological year" 7271 "Temperature change" 2012 2012 "°C" 2.039 "Fc"
"4" 146 "Republic of Moldova" 7020 "Meteorological year" 7271 "Temperature change" 2013 2013 "°C" 1.307 "Fc"
"5" 146 "Republic of Moldova" 7020 "Meteorological year" 7271 "Temperature change" 2014 2014 "°C" 1.399 "Fc"
"6" 146 "Republic of Moldova" 7020 "Meteorological year" 7271 "Temperature change" 2015 2015 "°C" 2.021 "Fc"
"7" 146 "Republic of Moldova" 7020 "Meteorological year" 7271 "Temperature change" 2016 2016 "°C" 2.111 "Fc"
"8" 146 "Republic of Moldova" 7020 "Meteorological year" 7271 "Temperature change" 2017 2017 "°C" 1.435 "Fc"
"9" 146 "Republic of Moldova" 7020 "Meteorological year" 7271 "Temperature change" 2018 2018 "°C" 2.093 "Fc"
"10" 146 "Republic of Moldova" 7020 "Meteorological year" 7271 "Temperature change" 2019 2019 "°C" 2.401 "Fc"
"11" 146 "Republic of Moldova" 7020 "Meteorological year" 7271 "Temperature change" 2020 2020 "°C" 3.083 "Fc"
